Year,Month,Expense_Category,Expense_Name,Amount_Due,Due_Date,Amount_Paid,Payment_Date,Payment_Method
2016,January,CCBill,Amex,1298.3,1/27/2016,1298.3,1/28/2016,Bank Draft
2016,January,Utility,Water,43.91,1/20/2016,43.91,1/26/2016,Check
2016,January,Utility,Internet,17.67,1/1/2016,17.67,1/17/2016,Check
2016,January,Utility,Power,80.27,1/2/2016,80.27,1/3/2016,Bank Draft
2016,January,Mortgage,House1,1383.52,1/28/2016,1383.52,1/29/2016,Bank Draft
2016,January,Mortgage,House2,1761.69,1/12/2016,1761.69,1/16/2016,Check
2016,January,Misc,Grocery,20.72,1/13/2016,,,
2016,February,CCBill,Amex,1166.32,2/9/2016,,,
2016,February,Utility,Water,75.13,2/10/2016,75.13,2/13/2016,Bank Draft
2016,February,Utility,Internet,45.24,2/17/2016,45.24,2/17/2016,Check
2016,February,Utility,Power,91.58,2/27/2016,,,
2016,February,Mortgage,House1,1724.07,2/25/2016,1724.07,2/25/2016,Check
2016,February,Mortgage,House2,1505.73,2/13/2016,,,
2016,February,Misc,Grocery,50.86,2/11/2016,,,
2016,March,CCBill,Amex,1779.49,3/23/2016,1779.49,3/25/2016,Bank Draft
2016,March,Utility,Water,71.67,3/17/2016,,,
2016,March,Utility,Internet,44.44,3/11/2016,44.44,3/21/2016,Bank Draft
2016,March,Utility,Power,98.04,3/1/2016,,,
2016,March,Mortgage,House1,1114.91,3/14/2016,1114.91,3/25/2016,Check
2016,March,Mortgage,House2,1463.33,3/13/2016,1463.33,3/22/2016,Check
2016,March,Misc,Grocery,42.41,3/4/2016,42.41,3/10/2016,Check
2016,April,CCBill,Amex,1553.8,4/6/2016,1553.8,4/18/2016,Bank Draft
2016,April,Utility,Water,63.99,4/23/2016,,,
2016,April,Utility,Internet,45.06,4/6/2016,,,
2016,April,Utility,Power,94.46,4/19/2016,,,
2016,April,Mortgage,House1,1235.13,4/11/2016,1235.13,4/19/2016,Check
2016,April,Mortgage,House2,1579.93,4/9/2016,,,
2016,April,Misc,Grocery,23.46,4/29/2016,23.46,4/29/2016,Check
2016,May,CCBill,Amex,1670.28,5/13/2016,1670.28,5/24/2016,Check
2016,May,Utility,Water,67.21,5/4/2016,67.21,5/4/2016,Bank Draft
2016,May,Utility,Internet,22.95,5/29/2016,,,
2016,May,Utility,Power,81.68,5/20/2016,81.68,5/25/2016,Bank Draft
2016,May,Mortgage,House1,1511.72,5/2/2016,1511.72,5/26/2016,Bank Draft
2016,May,Mortgage,House2,1270.06,5/15/2016,1270.06,5/18/2016,Bank Draft
2016,May,Misc,Grocery,24.63,5/2/2016,,,
2016,June,CCBill,Amex,1494.18,6/9/2016,1494.18,6/20/2016,Bank Draft
2016,June,Utility,Water,42.58,6/24/2016,42.58,6/24/2016,Bank Draft
