Year,Month,Expense_Category,Expense_Name,Amount_Due,Due_Date,Amount_Paid,Payment_Date,Payment_Method
2006,January,CCBill,Amex,1563.82,1/17/2006,1563.82,1/20/2006,Check
2006,January,Utility,Water,67.44,1/29/2006,67.44,1/29/2006,Check
2006,January,Utility,Internet,30.49,1/28/2006,30.49,1/29/2006,Bank Draft
2006,January,Utility,Power,93.21,1/19/2006,93.21,1/19/2006,Bank Draft
2006,January,Mortgage,House1,1056.24,1/14/2006,,,
2006,January,Mortgage,House2,1247.39,1/1/2006,,,
2006,January,Misc,Grocery,62.72,1/28/2006,62.72,1/28/2006,Bank Draft
2006,February,CCBill,Amex,1412.4,2/17/2006,,,
2006,February,Utility,Water,62.18,2/19/2006,62.18,2/27/2006,Bank Draft
2006,February,Utility,Internet,14.21,2/3/2006,14.21,2/15/2006,Check
2006,February,Utility,Power,96.03,2/4/2006,96.03,2/21/2006,Check
2006,February,Mortgage,House1,1411.14,2/16/2006,1411.14,2/23/2006,Check
2006,February,Mortgage,House2,1313.17,2/22/2006,1313.17,2/24/2006,Check
2006,February,Misc,Grocery,107.08,2/29/2006,,,
2006,March,CCBill,Amex,649.2,3/22/2006,649.2,3/28/2006,Check
2006,March,Utility,Water,36.18,3/9/2006,36.18,3/15/2006,Check
2006,March,Utility,Internet,46.63,3/28/2006,46.63,3/29/2006,Check
2006,March,Utility,Power,76.26,3/29/2006,76.26,3/29/2006,Bank Draft
2006,March,Mortgage,House1,1860.57,3/3/2006,1860.57,3/19/2006,Bank Draft
2006,March,Mortgage,House2,1342.03,3/13/2006,1342.03,3/15/2006,Bank Draft
2006,March,Misc,Grocery,103.56,3/14/2006,103.56,3/23/2006,Bank Draft
2006,April,CCBill,Amex,1038.27,4/23/2006,,,
2006,April,Utility,Water,33.03,4/28/2006,33.03,4/29/2006,Bank Draft
2006,April,Utility,Internet,18.81,4/28/2006,18.81,4/28/2006,Bank Draft
2006,April,Utility,Power,103.77,4/28/2006,,,
2006,April,Mortgage,House1,1644.83,4/28/2006,,,
2006,April,Mortgage,House2,1534.56,4/13/2006,,,
2006,April,Misc,Grocery,82.31,4/15/2006,82.31,4/28/2006,Check
2006,May,CCBill,Amex,1644.37,5/19/2006,,,
2006,May,Utility,Water,47.26,5/23/2006,47.26,5/27/2006,Check
2006,May,Utility,Internet,37.38,5/16/2006,37.38,5/27/2006,Check
2006,May,Utility,Power,96.75,5/3/2006,96.75,5/14/2006,Check
2006,May,Mortgage,House1,1336.61,5/25/2006,,,
2006,May,Mortgage,House2,1831.56,5/29/2006,1831.56,5/29/2006,Check
2006,May,Misc,Grocery,28.11,5/4/2006,,,
2006,June,CCBill,Amex,1199.41,6/20/2006,1199.41,6/24/2006,Bank Draft
2006,June,Utility,Water,61.38,6/7/2006,61.38,6/19/2006,Check
2006,June,Utility,Internet,43.04,6/10/2006,43.04,6/27/2006,Check
2006,June,Utility,Power,106.93,6/27/2006,106.93,6/28/2006,Bank Draft
2006,June,Mortgage,House1,1133.27,6/19/2006,1133.27,6/26/2006,Bank Draft
2006,June,Mortgage,House2,1312.97,6/5/2006,,,
2006,June,Misc,Grocery,76.49,6/6/2006,76.49,6/16/2006,Bank Draft
2006,July,CCBill,Amex,1112.38,7/29/2006,1112.38,7/29/2006,Bank Draft
2006,July,Utility,Water,29.07,7/3/2006,29.07,7/9/2006,Bank Draft
2006,July,Utility,Internet,30.28,7/14/2006,30.28,7/14/2006,Bank Draft
2006,July,Utility,Power,92.11,7/2/2006,92.11,7/21/2006,Check
2006,July,Mortgage,House1,1363.55,7/13/2006,1363.55,7/21/2006,Bank Draft
