Year,Month,Expense_Category,Expense_Name,Amount_Due,Due_Date,Amount_Paid,Payment_Date,Payment_Method
2012,January,CCBill,Amex,692.01,1/3/2012,692.01,1/16/2012,Check
2012,January,Utility,Water,73.76,1/12/2012,73.76,1/26/2012,Check
2012,January,Utility,Internet,17.01,1/26/2012,17.01,1/29/2012,Bank Draft
2012,January,Utility,Power,91.29,1/27/2012,91.29,1/27/2012,Bank Draft
2012,January,Mortgage,House1,1938.53,1/24/2012,1938.53,1/26/2012,Check
2012,January,Mortgage,House2,1816.4,1/12/2012,1816.4,1/14/2012,Check
2012,January,Misc,Grocery,105.83,1/15/2012,105.83,1/19/2012,Check
2012,February,CCBill,Amex,1562.8,2/29/2012,1562.8,2/29/2012,Bank Draft
2012,February,Utility,Water,57.93,2/22/2012,57.93,2/23/2012,Check
2012,February,Utility,Internet,15.29,2/28/2012,15.29,2/28/2012,Bank Draft
2012,February,Utility,Power,109.61,2/9/2012,109.61,2/27/2012,Bank Draft
2012,February,Mortgage,House1,1979.59,2/7/2012,1979.59,2/17/2012,Bank Draft
2012,February,Mortgage,House2,1185.8,2/19/2012,1185.8,2/21/2012,Check
2012,February,Misc,Grocery,64.63,2/1/2012,,,
2012,March,CCBill,Amex,1245.45,3/1/2012,1245.45,3/27/2012,Check
2012,March,Utility,Water,51.23,3/16/2012,51.23,3/28/2012,Check
2012,March,Utility,Internet,45.72,3/5/2012,45.72,3/25/2012,Bank Draft
2012,March,Utility,Power,82.0,3/17/2012,82.0,3/29/2012,Check
2012,March,Mortgage,House1,1290.93,3/8/2012,,,
2012,March,Mortgage,House2,1237.29,3/23/2012,1237.29,3/27/2012,Check
2012,March,Misc,Grocery,51.93,3/12/2012,51.93,3/24/2012,Check
2012,April,CCBill,Amex,1028.36,4/9/2012,1028.36,4/15/2012,Check
2012,April,Utility,Water,31.33,4/28/2012,31.33,4/28/2012,Check
2012,April,Utility,Internet,35.18,4/24/2012,35.18,4/27/2012,Check
2012,April,Utility,Power,82.62,4/23/2012,82.62,4/25/2012,Check
2012,April,Mortgage,House1,1613.97,4/17/2012,,,
2012,April,Mortgage,House2,1997.14,4/20/2012,1997.14,4/29/2012,Bank Draft
2012,April,Misc,Grocery,66.43,4/11/2012,66.43,4/26/2012,Check
2012,May,CCBill,Amex,962.42,5/16/2012,962.42,5/27/2012,Bank Draft
2012,May,Utility,Water,44.06,5/26/2012,44.06,5/28/2012,Check
2012,May,Utility,Internet,46.36,5/5/2012,46.36,5/27/2012,Check
2012,May,Utility,Power,86.21,5/4/2012,86.21,5/10/2012,Check
2012,May,Mortgage,House1,1861.54,5/16/2012,,,
2012,May,Mortgage,House2,1829.44,5/4/2012,1829.44,5/22/2012,Check
2012,May,Misc,Grocery,77.17,5/3/2012,77.17,5/13/2012,Check
2012,June,CCBill,Amex,1353.52,6/18/2012,1353.52,6/25/2012,Bank Draft
2012,June,Utility,Water,21.43,6/1/2012,21.43,6/3/2012,Check
2012,June,Utility,Internet,29.19,6/15/2012,,,
2012,June,Utility,Power,84.23,6/22/2012,,,
2012,June,Mortgage,House1,1756.38,6/13/2012,1756.38,6/28/2012,Bank Draft
2012,June,Mortgage,House2,1431.07,6/10/2012,,,
2012,June,Misc,Grocery,60.93,6/16/2012,60.93,6/25/2012,Check
2012,July,CCBill,Amex,1245.59,7/25/2012,1245.59,7/26/2012,Check
