Year,Month,Expense_Category,Expense_Name,Amount_Due,Due_Date,Amount_Paid,Payment_Date,Payment_Method
2015,January,CCBill,Amex,1044.53,1/9/2015,1044.53,1/26/2015,Check
2015,January,Utility,Water,54.6,1/9/2015,54.6,1/27/2015,Check
2015,January,Utility,Internet,11.63,1/13/2015,11.63,1/24/2015,Check
2015,January,Utility,Power,86.09,1/12/2015,86.09,1/21/2015,Bank Draft
2015,January,Mortgage,House1,1400.97,1/7/2015,1400.97,1/8/2015,Check
2015,January,Mortgage,House2,1636.13,1/1/2015,1636.13,1/22/2015,Check
2015,January,Misc,Grocery,20.51,1/24/2015,20.51,1/24/2015,Bank Draft
2015,February,CCBill,Amex,1101.03,2/19/2015,1101.03,2/21/2015,Check
2015,February,Utility,Water,69.44,2/16/2015,69.44,2/19/2015,Check
2015,February,Utility,Internet,21.92,2/1/2015,21.92,2/10/2015,Check
2015,February,Utility,Power,90.54,2/9/2015,90.54,2/10/2015,Bank Draft
2015,February,Mortgage,House1,1056.67,2/10/2015,,,
2015,February,Mortgage,House2,1750.32,2/1/2015,1750.32,2/11/2015,Check
2015,February,Misc,Grocery,46.1,2/7/2015,46.1,2/28/2015,Bank Draft
2015,March,CCBill,Amex,1223.11,3/16/2015,1223.11,3/27/2015,Bank Draft
2015,March,Utility,Water,64.02,3/18/2015,64.02,3/21/2015,Check
2015,March,Utility,Internet,30.42,3/5/2015,30.42,3/6/2015,Bank Draft
2015,March,Utility,Power,87.75,3/23/2015,,,
2015,March,Mortgage,House1,1215.21,3/29/2015,1215.21,3/29/2015,Check
2015,March,Mortgage,House2,1540.74,3/29/2015,1540.74,3/29/2015,Bank Draft
2015,March,Misc,Grocery,57.8,3/23/2015,57.8,3/27/2015,Check
2015,April,CCBill,Amex,1490.75,4/13/2015,1490.75,4/16/2015,Bank Draft
2015,April,Utility,Water,88.38,4/23/2015,88.38,4/24/2015,Bank Draft
2015,April,Utility,Internet,36.41,4/14/2015,36.41,4/25/2015,Bank Draft
2015,April,Utility,Power,84.62,4/2/2015,,,
2015,April,Mortgage,House1,1014.3,4/2/2015,1014.3,4/27/2015,Bank Draft
2015,April,Mortgage,House2,1528.18,4/15/2015,,,
2015,April,Misc,Grocery,45.82,4/16/2015,,,
2015,May,CCBill,Amex,1239.33,5/13/2015,1239.33,5/28/2015,Bank Draft
2015,May,Utility,Water,26.63,5/7/2015,,,
2015,May,Utility,Internet,30.43,5/6/2015,30.43,5/10/2015,Check
2015,May,Utility,Power,76.43,5/28/2015,,,
2015,May,Mortgage,House1,1666.4,5/6/2015,1666.4,5/28/2015,Bank Draft
2015,May,Mortgage,House2,1364.95,5/29/2015,,,
2015,May,Misc,Grocery,42.72,5/18/2015,42.72,5/29/2015,Bank Draft
2015,June,CCBill,Amex,701.46,6/15/2015,701.46,6/20/2015,Bank Draft
2015,June,Utility,Water,39.36,6/26/2015,,,
2015,June,Utility,Internet,47.89,6/5/2015,,,
2015,June,Utility,Power,97.02,6/26/2015,97.02,6/26/2015,Check
2015,June,Mortgage,House1,1373.47,6/11/2015,1373.47,6/12/2015,Bank Draft
2015,June,Mortgage,House2,1457.34,6/11/2015,1457.34,6/24/2015,Check
2015,June,Misc,Grocery,22.65,6/14/2015,22.65,6/17/2015,Check
2015,July,CCBill,Amex,1319.39,7/15/2015,1319.39,7/15/2015,Check
2015,July,Utility,Water,47.7,7/25/2015,47.7,7/26/2015,Check
2015,July,Utility,Internet,38.37,7/21/2015,,,
2015,July,Utility,Power,70.63,7/21/2015,,,
2015,July,Mortgage,House1,1245.66,7/17/2015,1245.66,7/21/2015,Bank Draft
2015,July,Mortgage,House2,1888.83,7/28/2015,1888.83,7/29/2015,Bank Draft
2015,July,Misc,Grocery,53.26,7/4/2015,53.26,7/25/2015,Check
2015,August,CCBill,Amex,1499.39,8/17/2015,1499.39,8/26/2015,Bank Draft
2015,August,Utility,Water,81.71,8/24/2015,81.71,8/26/2015,Check
2015,August,Utility,Internet,24.58,8/26/2015,,,
2015,August,Utility,Power,89.67,8/25/2015,,,
2015,August,Mortgage,House1,1017.59,8/23/2015,1017.59,8/25/2015,Bank Draft
2015,August,Mortgage,House2,1297.09,8/19/2015,1297.09,8/21/2015,Bank Draft
2015,August,Misc,Grocery,71.82,8/2/2015,71.82,8/20/2015,Bank Draft
2015,September,CCBill,Amex,600.65,9/17/2015,600.65,9/21/2015,Check
2015,September,Utility,Water,27.9,9/3/2015,27.9,9/27/2015,Check
2015,September,Utility,Internet,23.98,9/24/2015,23.98,9/26/2015,Bank Draft
2015,September,Utility,Power,81.22,9/7/2015,81.22,9/8/2015,Bank Draft
2015,September,Mortgage,House1,1988.29,9/29/2015,1988.29,9/29/2015,Bank Draft
2015,September,Mortgage,House2,1114.37,9/22/2015,,,
2015,September,Misc,Grocery,38.29,9/22/2015,38.29,9/29/2015,Check
2015,October,CCBill,Amex,1541.65,10/11/2015,,,
2015,October,Utility,Water,48.88,10/25/2015,48.88,10/27/2015,Check
2015,October,Utility,Internet,49.49,10/21/2015,49.49,10/24/2015,Bank Draft
2015,October,Utility,Power,91.48,10/19/2015,91.48,10/24/2015,Check
2015,October,Mortgage,House1,1354.1,10/3/2015,1354.1,10/6/2015,Check
2015,October,Mortgage,House2,1837.37,10/27/2015,1837.37,10/28/2015,Bank Draft
2015,October,Misc,Grocery,96.4,10/1/2015,,,
2015,November,CCBill,Amex,1186.68,11/12/2015,1186.68,11/15/2015,Bank Draft
2015,November,Utility,Water,64.22,11/27/2015,64.22,11/27/2015,Bank Draft
2015,November,Utility,Internet,46.26,11/28/2015,46.26,11/28/2015,Bank Draft
2015,November,Utility,Power,82.53,11/6/2015,82.53,11/28/2015,Bank Draft
