Year,Month,Expense_Category,Expense_Name,Amount_Due,Due_Date,Amount_Paid,Payment_Date,Payment_Method
2004,January,CCBill,Amex,1213.38,1/1/2004,1213.38,1/8/2004,Bank Draft
2004,January,Utility,Water,48.93,1/26/2004,48.93,1/29/2004,Check
2004,January,Utility,Internet,30.84,1/7/2004,30.84,1/12/2004,Check
2004,January,Utility,Power,87.13,1/17/2004,87.13,1/18/2004,Bank Draft
2004,January,Mortgage,House1,1165.99,1/4/2004,1165.99,1/19/2004,Check
2004,January,Mortgage,House2,1747.43,1/27/2004,1747.43,1/29/2004,Bank Draft
2004,January,Misc,Grocery,53.72,1/14/2004,53.72,1/19/2004,Check
2004,February,CCBill,Amex,1641.28,2/14/2004,,,
2004,February,Utility,Water,75.21,2/13/2004,75.21,2/15/2004,Check
2004,February,Utility,Internet,14.84,2/4/2004,,,
2004,February,Utility,Power,78.56,2/8/2004,78.56,2/11/2004,Bank Draft
2004,February,Mortgage,House1,1513.74,2/15/2004,1513.74,2/21/2004,Check
2004,February,Mortgage,House2,1433.12,2/3/2004,1433.12,2/24/2004,Bank Draft
2004,February,Misc,Grocery,63.43,2/17/2004,63.43,2/19/2004,Check
2004,March,CCBill,Amex,1533.41,3/9/2004,1533.41,3/25/2004,Check
2004,March,Utility,Water,66.98,3/22/2004,66.98,3/26/2004,Check
2004,March,Utility,Internet,47.74,3/7/2004,47.74,3/15/2004,Bank Draft
2004,March,Utility,Power,87.44,3/17/2004,87.44,3/26/2004,Bank Draft
2004,March,Mortgage,House1,1459.89,3/24/2004,1459.89,3/29/2004,Bank Draft
2004,March,Mortgage,House2,1189.09,3/13/2004,1189.09,3/29/2004,Check
2004,March,Misc,Grocery,106.79,3/2/2004,106.79,3/28/2004,Check
2004,April,CCBill,Amex,1450.12,4/21/2004,1450.12,4/24/2004,Check
2004,April,Utility,Water,38.28,4/4/2004,,,
2004,April,Utility,Internet,12.72,4/11/2004,12.72,4/22/2004,Check
2004,April,Utility,Power,71.24,4/4/2004,71.24,4/10/2004,Bank Draft
2004,April,Mortgage,House1,1838.31,4/12/2004,1838.31,4/20/2004,Bank Draft
2004,April,Mortgage,House2,1779.78,4/16/2004,,,
