Year,Month,Expense_Category,Expense_Name,Amount_Due,Due_Date,Amount_Paid,Payment_Date,Payment_Method
2018,January,CCBill,Amex,1607.88,1/2/2018,,,
2018,January,Utility,Water,33.3,1/15/2018,33.3,1/22/2018,Check
2018,January,Utility,Internet,12.81,1/8/2018,12.81,1/21/2018,Bank Draft
2018,January,Utility,Power,89.2,1/29/2018,89.2,1/29/2018,Bank Draft
2018,January,Mortgage,House1,1418.77,1/17/2018,1418.77,1/28/2018,Bank Draft
2018,January,Mortgage,House2,1757.42,1/15/2018,,,
2018,January,Misc,Grocery,66.88,1/5/2018,66.88,1/18/2018,Bank Draft
2018,February,CCBill,Amex,1545.13,2/2/2018,1545.13,2/19/2018,Bank Draft
2018,February,Utility,Water,49.14,2/10/2018,,,
2018,February,Utility,Internet,7.16,2/21/2018,7.16,2/21/2018,Check
2018,February,Utility,Power,98.05,2/6/2018,98.05,2/9/2018,Bank Draft
2018,February,Mortgage,House1,1642.6,2/12/2018,1642.6,2/29/2018,Bank Draft
2018,February,Mortgage,House2,1300.24,2/14/2018,1300.24,2/29/2018,Bank Draft
2018,February,Misc,Grocery,86.06,2/11/2018,86.06,2/23/2018,Check
2018,March,CCBill,Amex,923.56,3/19/2018,923.56,3/19/2018,Bank Draft
2018,March,Utility,Water,89.34,3/18/2018,89.34,3/20/2018,Bank Draft
2018,March,Utility,Internet,29.02,3/20/2018,29.02,3/23/2018,Bank Draft
2018,March,Utility,Power,80.53,3/7/2018,,,
2018,March,Mortgage,House1,1492.87,3/2/2018,1492.87,3/14/2018,Bank Draft
2018,March,Mortgage,House2,1341.85,3/24/2018,1341.85,3/26/2018,Check
2018,March,Misc,Grocery,102.39,3/10/2018,102.39,3/18/2018,Check
2018,April,CCBill,Amex,1088.41,4/2/2018,1088.41,4/2/2018,Check
2018,April,Utility,Water,68.19,4/25/2018,68.19,4/28/2018,Bank Draft
2018,April,Utility,Internet,40.45,4/26/2018,,,
2018,April,Utility,Power,94.36,4/8/2018,94.36,4/23/2018,Check
2018,April,Mortgage,House1,1007.51,4/14/2018,1007.51,4/29/2018,Check
2018,April,Mortgage,House2,1527.78,4/3/2018,,,
2018,April,Misc,Grocery,105.02,4/24/2018,105.02,4/29/2018,Check
2018,May,CCBill,Amex,1381.4,5/8/2018,1381.4,5/14/2018,Bank Draft
2018,May,Utility,Water,68.48,5/8/2018,,,
2018,May,Utility,Internet,43.55,5/6/2018,43.55,5/16/2018,Check
2018,May,Utility,Power,77.84,5/2/2018,77.84,5/25/2018,Bank Draft
2018,May,Mortgage,House1,1056.03,5/9/2018,1056.03,5/15/2018,Bank Draft
2018,May,Mortgage,House2,1679.36,5/12/2018,1679.36,5/26/2018,Bank Draft
2018,May,Misc,Grocery,76.03,5/3/2018,76.03,5/25/2018,Bank Draft
2018,June,CCBill,Amex,1069.87,6/28/2018,1069.87,6/29/2018,Check
2018,June,Utility,Water,55.12,6/13/2018,55.12,6/14/2018,Check
2018,June,Utility,Internet,30.37,6/3/2018,30.37,6/28/2018,Bank Draft
2018,June,Utility,Power,106.72,6/19/2018,106.72,6/29/2018,Bank Draft
2018,June,Mortgage,House1,1204.6,6/6/2018,,,
2018,June,Mortgage,House2,1950.14,6/18/2018,,,
2018,June,Misc,Grocery,89.7,6/16/2018,,,
2018,July,CCBill,Amex,1210.71,7/12/2018,1210.71,7/28/2018,Bank Draft
2018,July,Utility,Water,58.13,7/4/2018,58.13,7/23/2018,Check
2018,July,Utility,Internet,21.13,7/25/2018,21.13,7/28/2018,Bank Draft
2018,July,Utility,Power,84.01,7/1/2018,84.01,7/2/2018,Bank Draft
2018,July,Mortgage,House1,1378.83,7/11/2018,,,
2018,July,Mortgage,House2,1802.14,7/14/2018,1802.14,7/18/2018,Bank Draft
2018,July,Misc,Grocery,49.07,7/10/2018,49.07,7/25/2018,Bank Draft
2018,August,CCBill,Amex,789.21,8/18/2018,789.21,8/25/2018,Bank Draft
2018,August,Utility,Water,36.78,8/24/2018,36.78,8/28/2018,Bank Draft
2018,August,Utility,Internet,18.38,8/6/2018,,,
2018,August,Utility,Power,74.5,8/27/2018,74.5,8/28/2018,Bank Draft
2018,August,Mortgage,House1,1640.29,8/12/2018,,,
2018,August,Mortgage,House2,1140.39,8/24/2018,1140.39,8/26/2018,Check
2018,August,Misc,Grocery,47.68,8/3/2018,,,
2018,September,CCBill,Amex,651.83,9/3/2018,651.83,9/21/2018,Check
2018,September,Utility,Water,86.71,9/16/2018,,,
2018,September,Utility,Internet,25.53,9/7/2018,25.53,9/7/2018,Bank Draft
2018,September,Utility,Power,108.58,9/14/2018,108.58,9/22/2018,Check
