Year,Month,Expense_Category,Expense_Name,Amount_Due,Due_Date,Amount_Paid,Payment_Date,Payment_Method
2020,January,CCBill,Amex,727.44,1/5/2020,727.44,1/19/2020,Check
2020,January,Utility,Water,52.06,1/11/2020,52.06,1/20/2020,Check
2020,January,Utility,Internet,22.99,1/10/2020,22.99,1/29/2020,Bank Draft
2020,January,Utility,Power,106.7,1/16/2020,106.7,1/18/2020,Bank Draft
2020,January,Mortgage,House1,1855.94,1/6/2020,,,
2020,January,Mortgage,House2,1488.48,1/26/2020,1488.48,1/27/2020,Check
2020,January,Misc,Grocery,76.25,1/12/2020,76.25,1/29/2020,Bank Draft
2020,February,CCBill,Amex,968.84,2/11/2020,968.84,2/18/2020,Check
2020,February,Utility,Water,78.53,2/22/2020,78.53,2/25/2020,Bank Draft
2020,February,Utility,Internet,37.69,2/5/2020,37.69,2/27/2020,Check
2020,February,Utility,Power,101.37,2/26/2020,,,
2020,February,Mortgage,House1,1148.98,2/3/2020,1148.98,2/26/2020,Bank Draft
2020,February,Mortgage,House2,1894.82,2/15/2020,1894.82,2/19/2020,Check
2020,February,Misc,Grocery,43.46,2/1/2020,43.46,2/14/2020,Bank Draft
2020,March,CCBill,Amex,1660.28,3/8/2020,1660.28,3/10/2020,Bank Draft
2020,March,Utility,Water,45.4,3/21/2020,45.4,3/27/2020,Bank Draft
2020,March,Utility,Internet,19.12,3/4/2020,19.12,3/17/2020,Bank Draft
2020,March,Utility,Power,109.42,3/23/2020,109.42,3/27/2020,Bank Draft
2020,March,Mortgage,House1,1197.95,3/7/2020,1197.95,3/13/2020,Bank Draft
2020,March,Mortgage,House2,1824.48,3/22/2020,1824.48,3/27/2020,Check
2020,March,Misc,Grocery,42.16,3/20/2020,,,
2020,April,CCBill,Amex,1241.33,4/17/2020,1241.33,4/17/2020,Check
2020,April,Utility,Water,28.62,4/16/2020,28.62,4/24/2020,Bank Draft
2020,April,Utility,Internet,35.34,4/25/2020,35.34,4/26/2020,Bank Draft
2020,April,Utility,Power,101.99,4/23/2020,101.99,4/29/2020,Bank Draft
2020,April,Mortgage,House1,1685.47,4/6/2020,1685.47,4/14/2020,Check
2020,April,Mortgage,House2,1102.48,4/14/2020,,,
2020,April,Misc,Grocery,23.78,4/29/2020,23.78,4/29/2020,Bank Draft
2020,May,CCBill,Amex,1561.24,5/26/2020,1561.24,5/28/2020,Check
2020,May,Utility,Water,23.86,5/26/2020,23.86,5/29/2020,Check
2020,May,Utility,Internet,25.05,5/10/2020,25.05,5/22/2020,Bank Draft
2020,May,Utility,Power,79.2,5/9/2020,79.2,5/11/2020,Check
2020,May,Mortgage,House1,1346.99,5/17/2020,1346.99,5/27/2020,Bank Draft
